Brand,Product,Review,Sentiment,Sentiment Score,Wheels_Score,Zippers_Score,Handle_Score,Material_Score,Capacity_Score
Safari,Safari Premium Polycarbonate Cabin Luggage,Overall a positive experience. The smooth wheels makes this a great choice for travel.,Positive,0.24896426177449138,9.995947348725327,9.17770158120603,7.190799677929364,6.572827480363479,9.121007425744029
Safari,Safari Premium Polycarbonate Cabin Luggage,Overall a positive experience. The excellent zippers makes this a great choice for travel.,Positive,0.39463157949037486,9.93994409515971,9.221867636904143,8.41911875037913,8.017200028132535,9.791251782735955
Safari,Safari Premium Polycarbonate Cabin Luggage,Overall a positive experience. The sturdy material makes this a great choice for travel.,Positive,0.7960735725985575,6.145560886501439,8.418180677116869,8.412547321705608,6.161721603604111,9.328859019112105
Safari,Safari Premium Polycarbonate Cabin Luggage,Overall a positive experience. The excellent zippers makes this a great choice for travel.,Positive,0.3035715591424797,9.01264004771598,8.697596435800557,8.868766573160318,8.892028964236397,6.701433300073096
Safari,Safari Premium Polycarbonate Cabin Luggage,Overall a positive experience. The sturdy material makes this a great choice for travel.,Positive,0.49715170807600384,8.278710998443088,8.526561893991708,9.50973647028513,8.61479815540556,6.4365936220965
Safari,Safari Premium Polycarbonate Medium Luggage,Overall a positive experience. The great capacity makes this a great choice for travel.,Positive,0.8467154470655175,7.761591792845721,8.409760828431615,7.932995909531076,9.126177546166481,7.894271140331577
Safari,Safari Premium Polycarbonate Medium Luggage,Overall a positive experience. The sturdy material makes this a great choice for travel.,Positive,0.8616475012116234,9.823169043012706,9.611346798818392,8.918679765911062,8.713680303752326,8.557497251384465
Safari,Safari Premium Polycarbonate Medium Luggage,Overall a positive experience. The telescopic handle is great makes this a great choice for travel.,Positive,0.12658467580146207,7.694773853210274,9.129055709162206,9.974216880778567,8.138880114790119,6.770605045522462
Safari,Safari Premium Polycarbonate Medium Luggage,Overall a positive experience. The smooth wheels makes this a great choice for travel.,Positive,0.7544526123162202,8.393339380617444,9.3947536489651,6.761866083732485,8.602546233537335,6.769314983115537
Safari,Safari Premium Polycarbonate Medium Luggage,Overall a positive experience. The smooth wheels makes this a great choice for travel.,Positive,0.8450165830688724,8.441472066813478,8.883616818097028,7.79675714021444,8.734885331220497,9.599964717928607
Safari,Safari Premium Polycarbonate Cabin Luggage,Overall a positive experience. The telescopic handle is great makes this a great choice for travel.,Positive,0.8456087628659869,6.054395744495703,9.01300370922165,6.0137781333545925,9.242192171525836,9.441744286689422
Safari,Safari Premium Polycarbonate Cabin Luggage,Overall a positive experience. The sturdy material makes this a great choice for travel.,Positive,0.13224628892936244,9.381412734142478,9.43869617735811,6.170471350581364,6.997068237469817,8.023887734063807
Safari,Safari Premium Polycarbonate Cabin Luggage,Overall a positive experience. The telescopic handle is great makes this a great choice for travel.,Positive,0.5857439381854935,8.59346527523065,6.809544634110866,7.300540271019379,8.591043630995713,8.761356187096432
Safari,Safari Premium Polycarbonate Cabin Luggage,Overall a positive experience. The smooth wheels makes this a great choice for travel.,Positive,0.6069528746006134,7.500117779748068,8.837066619988294,9.558753902724607,6.138970866276617,7.64735712424236
Safari,Safari Premium Polycarbonate Cabin Luggage,Overall a positive experience. The smooth wheels makes this a great choice for travel.,Positive,0.41078028002771017,6.764068388976931,9.976194694589836,6.161532991192915,8.372596865720508,7.227258184434898
Safari,Safari Premium Polycarbonate Cabin Luggage,Overall a positive experience. The excellent zippers makes this a great choice for travel.,Positive,0.4074616658694571,7.807642908287352,8.248227753183308,8.224287541829025,8.841209269003665,6.923186332614178
